product_url,name,article,price,price_old,price_didikz
https://di-di.kz/p37692489-kukla-precious-moments.html,"Кукла Precious Moments ""Симпатичная блондинка в кружевах"", 30 см",56332,74000,,22 000
https://di-di.kz/p39114046-igrovoj-nabor-shopkins.html,"Игровой набор ""Шопкинс"" - Смузи-грузовичок и Тропическая Лили",6570,31099,,19 800
